filename,category,note
20230505_142437.jpg,name-boards,Jockey showroom signage board
20241201_131237.jpg,name-boards,MS Property Developers site board
20250903_182455.heic,name-boards,Chairman Mahal golden 3D letters (Tamil) - great install shot
20260521_200633.heic,name-boards,LED glow sign board (Tamil) night shot
IMG-20240822-WA0000.jpg,name-boards,Everyday Cafe shopfront signage on ACP
20230715_103836.jpg,front-elevation,House with blue glass windows
20231118_140519.jpg,front-elevation,Completed house exterior
20231129_165506.jpg,front-elevation,Colorful geometric ACP elevation with scaffolding
20240123_161113.jpg,front-elevation,House with blue glass balcony under work
20240830_163816.jpg,front-elevation,House exterior with bay glass window
20241122_163136.jpg,front-elevation,Commercial building elevation with scaffolding
20250327_165153.heic,front-elevation,Stone cladding wall with fixed staircase glazing
20250418_164741.heic,front-elevation,House with blue glass under scaffolding
20250502_173353.heic,front-elevation,Building with blue windows and scaffolding
20250530_183652.heic,front-elevation,Completed house dusk shot with lighting - hero candidate
20251128_141650.heic,front-elevation,Textured tile elevation with scaffolding
20251226_130809.heic,front-elevation,Blue glass facade strips with scaffolding
20251226_130906.heic,front-elevation,Blue glass facade building
20251226_130912.heic,front-elevation,Blue glass facade building (duplicate angle of previous)
20251228_131059.heic,front-elevation,Building under construction with blue window
20260123_165050.heic,front-elevation,House elevation with orange accents and stone tile
20260123_165105.heic,front-elevation,House with scaffolding
20260409_175820.heic,front-elevation,Large commercial ACP facade with blue design under scaffolding
20260430_145244.heic,front-elevation,House exterior far shot
IMG-20220930-WA0001.jpg,front-elevation,3D design render - use in design/portfolio not gallery
IMG-20231017-WA0001.jpg,front-elevation,3D design render - use in design/portfolio not gallery
IMG-20250314-WA0001.jpg,front-elevation,3D render commercial building
IMG-20250326-WA0016.jpg,front-elevation,Glass strip elevation with scaffolding
IMG-20250501-WA0002.jpg,front-elevation,Photo of phone screen showing completed house - low quality
IMG-20250914-WA0002.jpg,front-elevation,Glass and tile elevation with scaffolding
IMG-20260322-WA0010.jpg,front-elevation,Large ACP facade project with scaffolding
IMG-20260322-WA0012.jpg,front-elevation,Large ACP facade project with scaffolding
IMG-20260322-WA0015.jpg,front-elevation,Large ACP facade project with scaffolding
IMG-20260402-WA0007.jpg,front-elevation,Large ACP facade blue design revealed
IMG-20260324-WA0006.jpg,front-elevation,House with glass railing balcony near completion
IMG-20260324-WA0007.jpg,front-elevation,Completed modern house - hero candidate
IMG-20260520-WA0008.jpg,front-elevation,Dark grey ACP facade with louvers - premium look
20231228_131818.jpg,glass-glazing,Fixed toughened glass strip in compound wall
20240326_183438.jpg,glass-glazing,Large shopfront fixed glazing
20240420_142412.jpg,glass-glazing,Frameless glass shower partition in bathroom
20240828_075235.jpg,glass-glazing,Red-framed glass partition cabin
20240828_131323.jpg,glass-glazing,Red-framed glass partition cabin (inauguration day)
20240927_170702.jpg,glass-glazing,Frameless toughened glass balcony panel
20250131_184756.jpg,glass-glazing,Black-framed glass partition shopfront
20260403_142027.heic,glass-glazing,Shopfront toughened glass glazing - commercial building
20260430_143113.heic,glass-glazing,Decorative printed glass window above staircase
20260613_184317.heic,glass-glazing,Office glass partition framework in progress
20260623_150244.heic,glass-glazing,Office glass partitions black frame
20260628_182903.heic,glass-glazing,Office glass partitions with mesh panels
20260628_183157.heic,glass-glazing,Office glass partitions in progress
IMG-20241017-WA0014.jpg,glass-glazing,Frameless glass office partition - very polished shot
IMG-20250920-WA0004.jpg,glass-glazing,Frosted toughened glass door
IMG-20250920-WA0005.jpg,glass-glazing,Frosted toughened glass shower door
IMG-20250920-WA0006.jpg,glass-glazing,Frosted toughened glass bathroom door
IMG-20250920-WA0007.jpg,glass-glazing,Frosted toughened glass door with SS handle
IMG-20251124-WA0021.jpg,glass-glazing,SS spigot for frameless glass railing closeup
IMG-20251124-WA0022.jpg,glass-glazing,Terrace frameless glass railing on parapet
IMG-20260324-WA0002.jpg,glass-glazing,Frosted designed glass balcony railing panel
IMG-20260324-WA0005.jpg,glass-glazing,Terrace pergola with glass canopy
IMG-20260701-WA0007.jpg,glass-glazing,Office glass partition with frosted film strips
IMG-20260701-WA0011.jpg,glass-glazing,Office frosted glass partition orange frame
20240408_183209.jpg,windows-doors,Black aluminium framed glass door
20241216_182116.jpg,windows-doors,White aluminium partition with frosted glass
20241216_182225.jpg,windows-doors,White aluminium partition with frosted glass
20250321_163531.heic,interior-works,Sliding glass wardrobe gold frame
20250918_111227.heic,windows-doors,Green-framed aluminium partition wall
20260602_174830.heic,windows-doors,Aluminium sliding window installed
IMG-20240420-WA0026.jpg,windows-doors,Black aluminium glass entrance door
IMG-20240420-WA0028.jpg,windows-doors,Black louvered ventilation window
IMG-20240426-WA0002.jpg,windows-doors,Wood-finish casement window with grill
IMG-20251204-WA0015.jpg,windows-doors,Window with grill and blue ACP accent
20240801_111911.jpg,steel-fabrication,SS vertical louver screen and railings on house
20240810_100646.jpg,steel-fabrication,SS staircase railing with wooden handrail
IMG-20260328-WA0001.jpg,steel-fabrication,SS designed balcony railing install
IMG-20260507-WA0002.jpg,steel-fabrication,SS balcony railing with printed glass panels
20250402_175513.heic,windows-doors,Aluminium office cabin partition in warehouse
20260623_150130.heic,interior-works,Wooden reception desk
20260623_150139.heic,interior-works,Wooden conference table
20260623_150156.heic,interior-works,Wooden office cabin furniture
IMG-20250301-WA0020.jpg,interior-works,Bathroom PVC marble wall panels
